Firstname,Lastname,Address,City,State,Pincode,Phone,SSN,Username,Password
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun34,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun35,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun36,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun37,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun38,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun39,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun40,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun41,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun42,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun43,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun44,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun45,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun46,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun47,nara
Nara,Tharun,YR colony,Tadipatri,AP,515411,9515231367,asfef,Tharun48,nara
